Charge,Address,City,District
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,6200 block Turnwood Dr,Jamesville,DeWitt
Larceny,100 block W Seneca St,Manlius,Manlius
Larceny,3800 block Brewerton Rd,North Syracuse,Onondaga County
Larceny,1700 block N Salina St,Syracuse,Syracuse
Larceny,3600 block W Genesee St,Syracuse,Onondaga County
Larceny,500 block W Onondaga St,Syracuse,Syracuse
Larceny,100 block Gray Av,Syracuse,Syracuse
Vehicle theft,100 block Nelson St,Syracuse,Syracuse
Aggravated assault,300 block Gifford St,Syracuse,Syracuse
Aggravated assault,100 block Wood Av,Syracuse,Syracuse
Burglary,100 block Salem Rd,DeWitt,DeWitt
Burglary,200 block Seeley Rd,Syracuse,Syracuse
Burglary,700 block First North St,Syracuse,Syracuse
Burglary,300 block W Fayette St,Syracuse,Syracuse
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,200 block Oarlock Cir,East Syracuse,Manlius
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,5600 block N Burdick St,Fayetteville,Manlius
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,0 block Damson Ln,Liverpool,Onondaga County
Larceny,4300 block Briarwood Ln,Manlius,Manlius
Larceny,5600 block Bear Rd,North Syracuse,Onondaga County
Larceny,100 block Parkway Dr,Syracuse,Syracuse
Larceny,800 block Butternut St,Syracuse,Syracuse
Larceny,100 block W Bissell St,Syracuse,Syracuse
Larceny,800 block Teall Av,Syracuse,Syracuse
Larceny,200 block Cannon St,Syracuse,Syracuse
Larceny,200 block Rider Av,Syracuse,Syracuse
Larceny,900 block N Mcbride St,Syracuse,Syracuse
Larceny,400 block Durston Av,Syracuse,Syracuse
Larceny,100 block Argonne Dr,Syracuse,Syracuse
Robbery,1300 block Butternut St,Syracuse,Syracuse
Vehicle theft,900 block Park Av,Syracuse,Syracuse
Burglary,300 block Milton Av,Syracuse,Syracuse
Burglary,1200 block Carbon St,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Onondaga County
Larceny,4100 block Route 31,Clay,Onondaga County
Larceny,5700 block Widewaters Pkwy,DeWitt,DeWitt
Larceny,4200 block James St,East Syracuse,DeWitt
Larceny,4800 block Route 174,Marcellus,Onondaga County
Larceny,600 block Park Av,Syracuse,Syracuse
Larceny,200 block Seward St,Syracuse,Syracuse
Larceny,400 block S Clinton St,Syracuse,Syracuse
Larceny,800 block E Willow St,Syracuse,Syracuse
Larceny,4700 block Onondaga Blvd,Syracuse,Geddes
Larceny,300 block James St,Syracuse,Syracuse
Larceny,800 block Erie Blvd W,Syracuse,Syracuse
Robbery,200 block Cogswell Av,Syracuse,Solvay
Vehicle theft,1200 block S State St,Syracuse,Syracuse
Vehicle theft,100 block Briggs St,Syracuse,Syracuse
Vehicle theft,100 block Wood Av,Syracuse,Syracuse
Vehicle theft,300 block Elm St,Syracuse,Syracuse
Aggravated assault,100 block E Calthrop Av,Syracuse,Syracuse
Burglary,8000 block Casilina Dr,Clay,Onondaga County
Burglary,700 block James St,Syracuse,Syracuse
Burglary,600 block Gifford St,Syracuse,Syracuse
Burglary,100 block Morgan Av,Syracuse,Syracuse
Burglary,500 block Audubon Pkwy,Syracuse,Syracuse
Larceny,7900 block State Route 31,Bridgeport,Cicero
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,3800 block Rte 31,Clay,Onondaga County
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,500 block Towne Dr,Fayetteville,Manlius
Larceny,100 block Towne Center Dr,Fayetteville,Manlius
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,300 block Bridge St,Syracuse,Geddes
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,4100 block S Salina St,Syracuse,Syracuse
Larceny,700 block Hiawatha Blvd E,Syracuse,Syracuse
Larceny,800 block Erie Blvd W,Syracuse,Syracuse
Larceny,100 block Crippen Pl,Syracuse,Syracuse
Larceny,100 block W Beard Av,Syracuse,Syracuse
Robbery,1100 block Willis Av,Syracuse,Syracuse
Robbery,600 block Butternut St,Syracuse,Syracuse
Vehicle theft,200 block Burnet Av,Syracuse,Syracuse
Aggravated assault,300 block Deerfield Rd,East Syracuse,Onondaga County
Aggravated assault,600 block W Onondaga St,Syracuse,Syracuse
Burglary,100 block Gray Av,Syracuse,Syracuse
Burglary,200 block Barclay St,Syracuse,Solvay
Burglary,100 block Doll Pkwy,Syracuse,Syracuse
Burglary,100 block Milton Av,Syracuse,Syracuse
Larceny,400 block Crandon Ter,Baldwinsville,Onondaga County
Larceny,100 block Button Shores Rd,Baldwinsville,Onondaga County
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,8000 block Brewerton Rd,Cicero,Onondaga County
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,4100 block Route 31,Clay,Onondaga County
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,5800 block Bridge St,East Syracuse,DeWitt
Larceny,4200 block Montezuma Crse,Liverpool,Onondaga County
Larceny,3900 block Route 31,Liverpool,Onondaga County
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,700 block Bailey Rd,N Syracuse,Onondaga County
Larceny,100 block Marshall St,Syracuse,Syracuse
Larceny,300 block Northern Lights Plz,Syracuse,Manlius
Larceny,200 block Germania Av,Syracuse,Camillus
Larceny,300 block Gifford St,Syracuse,Syracuse
Larceny,3000 block Erie Blvd E,Syracuse,Syracuse
Larceny,1900 block South Av,Syracuse,Syracuse
Larceny,400 block Westcott St,Syracuse,Syracuse
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,400 block S Warren St,Syracuse,Syracuse
Larceny,3100 block E Genesee St,Syracuse,Syracuse
Larceny,700 block E Adams St,Syracuse,Syracuse
Larceny,400 block South Av,Syracuse,Syracuse
Larceny,2900 block Erie Blvd E,Syracuse,Syracuse
Robbery,2500 block Erie Blvd E,Syracuse,Syracuse
Aggravated assault,1100 block Salt Springs Rd,Syracuse,Syracuse
Aggravated assault,200 block Herriman St,Syracuse,Syracuse
Burglary,800 block Livingston Av,Syracuse,Syracuse
Burglary,500 block Teall Av,Syracuse,Syracuse
Burglary,300 block Riegel St,Syracuse,Syracuse
Burglary,100 block Josephine St,Syracuse,Syracuse
Burglary,100 block Josephine St,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,8200 block Cazenovia Rd,Manlius,Manlius
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,400 block Delmar Pl,Syracuse,Onondaga County
Larceny,400 block Westcott St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,2500 block Erie Blvd E,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,700 block S Geddes St,Syracuse,Syracuse
Larceny,1600 block N Salina St,Syracuse,Syracuse
Larceny,100 block Seventh North St,Syracuse,Syracuse
Robbery,0 block Destiny Usa Dr,Syracuse,Syracuse
Robbery,800 block Park Av,Syracuse,Syracuse
Robbery,600 block S Crouse Av,Syracuse,Syracuse
Robbery,1500 block Teall Av,Syracuse,Syracuse
Vehicle theft,100 block Roxboro Cir,Mattydale,Onondaga County
Vehicle theft,200 block Wolf St,Syracuse,Syracuse
Vehicle theft,300 block Merriman Av,Syracuse,Syracuse
Vehicle theft,100 block Merritt Av,Syracuse,Syracuse
Vehicle theft,100 block Sweeting St,Syracuse,Syracuse
Aggravated assault,100 block Hope Av,Syracuse,Syracuse
Aggravated assault,1100 block Spring St,Syracuse,Syracuse
Aggravated assault,500 block Bear St,Syracuse,Syracuse
Burglary,6700 block Schepps Corners Rd,Kirkville,Manlius
Burglary,100 block Mildred Av,Syracuse,Syracuse
Burglary,0 block Kingsley Pl,Syracuse,Syracuse
Burglary,400 block Westbrook Hills Dr,Syracuse,Onondaga County
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,7700 block Brewerton Rd,Cicero,Cicero
Larceny,7000 block Manlius Center Rd,East Syracuse,Manlius
Larceny,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,8000 block Oswego Rd,Liverpool,Onondaga County
Larceny,100 block Iroquois Ln,Liverpool,Liverpool
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,5500 block Bear Rd,North Syracuse,Onondaga County
Larceny,100 block Northern Concourse,North Syracuse,Onondaga County
Larceny,1800 block Teall Av,Syracuse,Onondaga County
Larceny,200 block Lincoln Av,Syracuse,Syracuse
