House Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Street Address of House,Zip Code
"132,000.00","1,786.00","4,093.00",3,1.5,No,1910,1,2,1,56,"1,620.00",No,0.6,0.1,3.3,301 S Avery Ave,13204
"97,888.00","1,578.00","4,125.00",3,1.5,Yes,1928,1,2,1,54,"1,934.00",No,0.6,0.1,3.3,447 Whittier Ave,13204
"89,900.00","1,604.00","4,536.00",4,2,Yes,1920,2,1,2,44,"1,393.00",No,7,24,2.4,254 Maplehurst Ave,13208
"180,000.00","2,316.00","6,995.00",4,3.5,Yes,1940,1,3,2,68,"1,880.00",No,0.4,0,1.3,321 Allen St,13210
"189,900.00","3,224.00","6,534.00",6,2,Yes,1935,3,3,9,75,0,No,0.3,0,1.4,157 Cambridge St,13210
"156,082.00","2,239.00","6,801.00",3,2.5,Yes,1900,3,3,9,75,"3,105.00",No,0.3,0,1.4,464 Allen St,13210
"88,000.00","1,639.00","5,227.00",3,1.5,No,1920,5,2,2,38,"5,114.00",No,7,26,3,511 Pleasantview Ave,13208
"44,900.00","1,888.00","4,791.00",4,1,No,1900,2,1,2,54,"1,929.00",No,9,18,2.5,166 Briggs St,13208
"89,900.00","1,152.00","4,400.00",3,1,No,1930,2,1,2,48,"1,445.00",No,6,20,2.5,832 Wadsworth St,13208
"98,500.00","1,316.00","6,534.00",3,2,Yes,1951,2,1,2,44,"3,796.00",No,4,26,2.6,116 Wilmore Pl,13208
"59,900.00","2,442.00","3,049.00",5,2,No,1880,1,3,2,79,"1,542.00",No,19,2,1.9,218 Seward Street,13203
"49,500.00","1,920.00","4,791.00",6,2,No,1920,2,1,1,74,"1,301.00",No,14,25,1.1,717 Park Ave,13204
"53,000.00","1,158.00","4,356.00",3,2,No,1890,1,3,2,79,"1,216.00",No,13,6,1.7,105 Schneider Street,1323
"241,000.00","3,888.00","15,246.00",5,3,Yes,1910,1,3,2,62,"6,198.00",No,19,5,1.6,217 Highland Ave,13203
"48,000.00","1,872.00","4,356.00",4,2,No,1910,2,1,1,68,"1,220.00",No,9,25,2.2,332 Apple St,13204
"111,000.00","1,456.00","5,227.00",4,2,Yes,1910,3,2,3,52,"1,227.00",No,21,11,2.6,336 S. Edwards Ave,13206
"54,900.00","2,672.00","4,536.00",7,3,No,1910,2,1,1,73,"1,825.00",No,13,26,1.9,532 Richmond Ave,13204
"164,900.00","2,156.00","7,250.00",4,1.5,No,1922,3,2,2,63,"2,716.00",No,21,9,0.6,128 Hickok Ave,13206
"70,000.00","1,750.00","7,062.00",3,2,No,1930,4,2,2,34,216,No,12,34,3.4,235 Rider Ave,13207
"69,900.00","1,008.00","5,227.00",3,1,No,1951,3,2,3,58,"1,688.00",No,19,5,1.4,405 S Edwards Ave,13206
"99,900.00","1,248.00","6,534.00",3,1,Yes,1930,2,1,4,38,"1,354.00",No,13,32,3.5,503 Wolcott Ave,13207
"84,900.00","1,400.00","5,227.00",4,2,No,1890,2,1,4,43,"1,719.00",No,11,31,2.1,154 Reed Ave # 56,13207
"105,000.00","3,015.00","6,098.00",4,2,Yes,1890,1,4,1,66,976,No,8,8,3.5,105 Onondaga Ave,13204
"45,000.00","2,496.00","5,227.00",6,2,No,1900,1,4,1,53,900,No,5,9,1.5,164 Hudson Street,13204
"35,000.00","1,134.00","8,712.00",3,1,No,1930,2,4,1,53,848,No,5,9,1.5,212 Hudson St,13207
"54,900.00","1,104.00","3,049.00",3,1,No,1890,1,1,1,67,835,No,3,21,1.4,904 Spring St. ,13208
"63,900.00","1,684.00","4,183.00",4,2,Yes,1992,2,1,1,63,"1,297.00",No,5,9,1.5,301 Hudson St,13207
"59,900.00","2,435.00","3,049.00",4,3,No,1900,1,1,1,74,"1,563.00",No,3,24,1.2,1239 Park St.,13208
"88,742.00","1,872.00","4,000.00",4,1.5,Yes,1905,1,2,1,63,729,Yes,3,7,0.5,"711 Avery Ave Syracuse, NY",13204
"66,378.00",996,"4,200.00",2,1.5,Yes,1905,1,2,1,75,0,Yes,2,8,0.6,"505 Milton Ave Syracuse, NY",13204
"77,055.00","2,104.00","6,000.00",3,2,No,1942,1,2,1,76,875,No,2,15,1,"408 Ulster St Syracuse, NY",13204
"58,756.00","1,008.00","5,891.00",2,1,Yes,1953,1,4,2,27,160,No,9,24,3.8,"302 Mitchell Ave Syracuse, NY",13207
"68,462.00","1,200.00","10,100.00",3,1,No,1930,2,4,2,41,822,No,5,3,2.8,"245 Glenwood Ave Syracuse, NY",13207
"63,689.00","1,080.00","13,503.00",3,1.5,Yes,1929,1,3,2,39,"1,689.00",Yes,10,16,3.5,"524 Valley Dr Syracuse, NY",13207
"68,505.00","1,308.00","5,016.00",3,1.5,Yes,1929,4,1,2,37,"1,263.00",No,10,15,3.3,"202 Hutchinson Ave Syracuse, NY",13207
"74,900.00","1,384.00","8,712.00",3,1,Yes,1920,2,1,1,60,"1,284.00",No,9,24,1.5,209 2nd North St.,13208
"368,000.00","1,850.00","1,850.00",2,2,Yes,1994,1,2,1,89,"1,817.00",No,1,2,1.5,"133 Walton St APT 138, Syracuse, NY",13202
"169,900.00",950,950,1,1,No,1928,1,1,2,92,"1,038.00",No,2,4,1.2,"108 W Jefferson St APT 808, Syracuse, NY",13202
"109,900.00","1,808.00","7,405.00",4,2,Yes,1930,3,2,3,52,"1,831.00",No,40,35,5.5,"209 2nd North St, Syracuse, NY 13208",13206
"125,000.00","1,496.00","1,496.00",3,2,Yes,1929,3,2,3,50,"1,584.00",No,43,35,5.5,"3401 James St APT 9, Syracuse, NY 13206",13206
"283,635.00","1,286.00","1,286.00",2,2,No,2009,1,1,2,91,0,No,2,2,1.3,"211 W Jefferson St APT 409, Syracuse, NY",13202
"67,000.00",768,"6,969.00",2,1,No,1955,3,2,5,55,"1,588.00",No,34,36,5.6,"808 Coughlin Ave, Syracuse, NY 13206",13206
"38,000.00","1,596.00","3,484.00",3,2,No,1922,1,1,2,57,170,No,35,13,2.3,"422 W Colvin St, Syracuse, NY 13205",13205
"129,900.00","1,350.00","7,405.00",3,2,No,1926,3,3,1,42,"2,332.00",No,20,9,1.5,"340 Buckingham Ave, Syracuse, NY 13210",13210
"118,500.00","1,650.00","12,632.40",3,1,Yes,1915,3,3,1,38,"2,359.00",No,25,7,2.2,"464 Buckingham Ave, Syracuse, NY 13210",13210
"205,000.00","2,630.00","2,630.00",4,3,Yes,1990,1,3,3,23,"1,950.00",No,31,1.2,1.6,"21 Nursery Ln, Syracuse, NY 13210",13210
87000,2760,4800,6,2,No,1910,2,1,2,45,1489,Yes,5,30,2,139 Pulaski St,13204
53981,1548,6534,4,2,Yes,1920,2,1,1,59,2139,Yes,20,5,2,709 Wolf St,13208
74900,832,10500,3,2,Yes,1960,1,3,2,28,1007,Yes,4,11,6.9,1705 Valley Dr.,13207
69900,2704,9147,4,2,Yes,1965,1,3,2,28,2755,No,4,9,6.8,214 Riverdale Dr.,13207
55000,1451,7405,4,1,No,1960,1,3,2,33,1370,No,8,29,6.4,145 Bradford St.,13207
68500,1704,8764,4,1,Yes,1950,1,3,2,28,1594,No,8,30,6.4,626 Barnes Ave.,13207
74500,1728,3920,7,3,Yes,1920,1,1,1,73,1633,No,6,23,1.5,517 Carbon St.,13208
59900,2435,3049,4,3,No,1900,1,1,1,74,1563,No,3,20,1.2,1239 Park St.,13208
59000,2208,4356,4,2,Yes,1910,1,1,1,71,1372,No,15,22,1.4,1113 Park St.,13208
39900,1824,3920,5,2,No,1900,2,1,1,67,1179,Yes,7,13,1.1,2409 Lodi St.,13208
